league,season,team,player,nation,pos,age,born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type
ENG-Premier League,2023,Burnley,Nathan Redmond,ENG,"FW,MF",29,1994,1.6,2,1,0,0,2,1,4,25.0,3,1,0,1,0,2,3,0,defense
ENG-Premier League,2023,Burnley,Sander Berge,NOR,MF,25,1998,33.4,76,46,35,36,5,34,58,58.6,24,49,20,29,23,99,60,2,defense
ENG-Premier League,2023,Burnley,Vitinho,BRA,"DF,MF",24,1999,25.7,64,34,36,22,6,43,86,50.0,43,44,6,38,12,76,47,4,defense
ENG-Premier League,2023,Burnley,Wilson Odobert,FRA,"MF,FW",18,2004,23.3,17,13,8,5,4,6,22,27.3,16,26,2,24,6,23,14,0,defense
ENG-Premier League,2023,Burnley,Zeki Amdouni,SUI,FW,22,2000,21.7,27,18,1,15,11,7,25,28.0,18,23,10,13,9,36,10,0,defense
ENG-Premier League,2023,Chelsea,Alex Matos,ENG,MF,18,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ENG-Premier League,2023,Chelsea,Alfie Gilchrist,ENG,DF,19,2003,2.3,4,0,4,0,0,2,5,40.0,3,6,3,3,3,7,11,0,defense
ENG-Premier League,2023,Chelsea,Armando Broja,ALB,FW,21,2001,5.0,3,0,0,1,2,1,2,50.0,1,5,1,4,0,3,3,0,defense
ENG-Premier League,2023,Chelsea,Axel Disasi,FRA,DF,25,1998,28.7,33,19,20,10,3,23,30,76.7,7,26,19,7,18,51,102,2,defense
ENG-Premier League,2023,Chelsea,Ben Chilwell,ENG,DF,26,1996,8.4,15,10,5,9,1,5,8,62.5,3,11,3,8,4,19,19,1,defense
ENG-Premier League,2023,Chelsea,Benoît Badiashile,FRA,DF,22,2001,14.9,21,15,12,9,0,9,14,64.3,5,21,14,7,18,39,66,2,defense
ENG-Premier League,2023,Chelsea,Carney Chukwuemeka,ENG,"MF,FW",19,2003,2.5,6,4,3,3,0,1,3,33.3,2,1,1,0,0,6,1,0,defense
ENG-Premier League,2023,Chelsea,Cesare Casadei,ITA,"FW,MF",20,2003,0.9,5,3,2,1,2,2,5,40.0,3,1,0,1,0,5,4,0,defense
ENG-Premier League,2023,Chelsea,Christopher Nkunku,FRA,"FW,MF",25,1997,4.9,5,4,0,4,1,1,2,50.0,1,4,1,3,2,7,4,0,defense
ENG-Premier League,2023,Chelsea,Cole Palmer,ENG,"FW,MF",21,2002,29.0,23,12,9,6,8,8,19,42.1,11,20,2,18,20,43,13,2,defense
ENG-Premier League,2023,Chelsea,Conor Gallagher,ENG,MF,23,2000,34.8,85,52,37,31,17,33,77,42.9,44,50,11,39,43,128,34,0,defense
ENG-Premier League,2023,Chelsea,Deivid Washington,BRA,"DF,FW",18,2005,0.1,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,defense
ENG-Premier League,2023,Chelsea,Enzo Fernández,ARG,MF,22,2001,24.5,50,22,22,18,10,27,65,41.5,38,36,13,23,17,67,28,0,defense
ENG-Premier League,2023,Chelsea,Ian Maatsen,NED,"FW,MF",21,2002,2.3,3,2,1,1,1,0,4,0.0,4,4,0,4,3,6,10,0,defense
ENG-Premier League,2023,Chelsea,Jimi Tauriainen,ENG,FW,19,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ENG-Premier League,2023,Chelsea,Joshua Acheampong,ENG,DF,17,2006,0.1,0,0,0,0,0,0,0,,0,3,3,0,0,0,0,0,defense
ENG-Premier League,2023,Chelsea,Lesley Ugochukwu,FRA,MF,19,2004,3.3,14,10,4,8,2,4,10,40.0,6,6,2,4,1,15,5,0,defense
ENG-Premier League,2023,Chelsea,Levi Colwill,ENG,DF,20,2003,20.0,48,30,26,17,5,26,34,76.5,8,28,10,18,26,74,66,0,defense
ENG-Premier League,2023,Chelsea,Malo Gusto,FRA,DF,20,2003,19.5,55,27,34,15,6,35,52,67.3,17,28,4,24,17,72,43,1,defense
ENG-Premier League,2023,Chelsea,Marc Cucurella,ESP,DF,25,1998,19.8,62,38,36,21,5,34,64,53.1,30,36,13,23,22,84,48,0,defense
ENG-Premier League,2023,Chelsea,Mason Burstow,ENG,FW,19,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ENG-Premier League,2023,Chelsea,Moisés Caicedo,ECU,MF,21,2001,31.8,91,46,38,42,11,36,60,60.0,24,59,25,34,37,128,44,4,defense
ENG-Premier League,2023,Chelsea,Mykhailo Mudryk,UKR,FW,22,2001,17.5,21,12,9,7,5,10,32,31.3,22,14,1,13,9,30,9,0,defense
ENG-Premier League,2023,Chelsea,Nicolas Jackson,SEN,FW,22,2001,31.1,21,13,5,8,8,5,24,20.8,19,20,5,15,4,25,17,0,defense
ENG-Premier League,2023,Chelsea,Noni Madueke,ENG,FW,21,2002,11.7,16,10,8,4,4,11,34,32.4,23,11,0,11,4,20,14,0,defense
ENG-Premier League,2023,Chelsea,Raheem Sterling,ENG,"FW,MF",28,1994,22.0,21,10,7,8,6,12,26,46.2,14,13,0,13,13,34,9,1,defense
ENG-Premier League,2023,Chelsea,Reece James,ENG,DF,23,1999,4.7,14,9,10,3,1,8,10,80.0,2,4,4,0,3,17,7,1,defense
ENG-Premier League,2023,Chelsea,Robert Sánchez,ESP,GK,25,1997,15.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,3,defense
ENG-Premier League,2023,Chelsea,Roméo Lavia,BEL,MF,19,2004,0.4,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,defense
ENG-Premier League,2023,Chelsea,Thiago Silva,BRA,DF,38,1984,28.1,29,15,22,6,1,20,34,58.8,14,33,24,9,26,55,153,4,defense
ENG-Premier League,2023,Chelsea,Trevoh Chalobah,ENG,DF,24,1999,10.6,16,12,10,2,4,10,15,66.7,5,8,7,1,8,24,51,0,defense
ENG-Premier League,2023,Chelsea,Đorđe Petrović,SRB,GK,23,1999,22.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,12,3,defense
ENG-Premier League,2023,Crystal Palace,Adam Wharton,ENG,MF,19,2004,14.4,48,32,18,22,8,23,46,50.0,23,17,3,14,20,68,24,1,defense
ENG-Premier League,2023,Crystal Palace,Cheick Doucouré,MLI,MF,23,2000,10.2,34,17,15,13,6,18,30,60.0,12,13,2,11,20,54,12,0,defense
ENG-Premier League,2023,Crystal Palace,Chris Richards,USA,"DF,MF",23,2000,23.3,46,28,21,22,3,20,30,66.7,10,32,12,20,27,73,109,0,defense
ENG-Premier League,2023,Crystal Palace,Daniel Muñoz,COL,"DF,MF",27,1996,16.0,55,35,31,14,10,19,38,50.0,19,29,7,22,24,79,47,0,defense
ENG-Premier League,2023,Crystal Palace,David Ozoh,ENG,"MF,DF",18,2005,1.7,10,6,3,6,1,5,6,83.3,1,2,0,2,0,10,2,0,defense
ENG-Premier League,2023,Crystal Palace,Dean Henderson,ENG,GK,26,1997,18.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,8,2,defense
ENG-Premier League,2023,Crystal Palace,Eberechi Eze,ENG,"MF,FW",25,1998,22.8,35,17,4,18,13,15,31,48.4,16,27,2,25,11,46,6,0,defense
ENG-Premier League,2023,Crystal Palace,James Tomkins,ENG,DF,34,1989,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,defense
ENG-Premier League,2023,Crystal Palace,Jaïro Riedewald,NED,"MF,FW",26,1996,2.6,9,3,2,4,3,3,6,50.0,3,0,0,0,2,11,2,0,defense
ENG-Premier League,2023,Crystal Palace,Jean-Philippe Mateta,FRA,FW,26,1997,25.4,22,15,4,11,7,6,10,60.0,4,13,4,9,4,26,14,0,defense
ENG-Premier League,2023,Crystal Palace,Jefferson Lerma,COL,"MF,DF",28,1994,26.7,42,25,15,23,4,19,40,47.5,21,31,12,19,36,78,72,0,defense
ENG-Premier League,2023,Crystal Palace,Jeffrey Schlupp,GHA,"FW,MF",30,1992,15.0,38,24,14,16,8,9,18,50.0,9,13,2,11,8,46,24,0,defense
ENG-Premier League,2023,Crystal Palace,Jesurun Rak Sakyi,ENG,"MF,FW",20,2002,1.5,4,1,3,1,0,2,3,66.7,1,2,0,2,3,7,1,0,defense
ENG-Premier League,2023,Crystal Palace,Joachim Andersen,DEN,DF,27,1996,37.9,56,35,33,21,2,29,39,74.4,10,33,18,15,41,97,207,1,defense
ENG-Premier League,2023,Crystal Palace,Joel Ward,ENG,DF,33,1989,22.0,45,28,26,18,1,30,47,63.8,17,17,10,7,14,59,94,1,defense
ENG-Premier League,2023,Crystal Palace,Jordan Ayew,GHA,"FW,MF",31,1991,28.3,65,36,23,28,14,21,42,50.0,21,43,2,41,16,81,15,0,defense
ENG-Premier League,2023,Crystal Palace,Marc Guéhi,ENG,DF,23,2000,22.5,28,19,21,7,0,14,24,58.3,10,22,17,5,18,46,89,1,defense
ENG-Premier League,2023,Crystal Palace,Matheus França,BRA,"MF,FW",19,2004,2.6,3,3,2,1,0,1,7,14.3,6,4,0,4,1,4,1,0,defense
ENG-Premier League,2023,Crystal Palace,Michael Olise,FRA,"FW,MF",21,2001,14.2,19,10,7,10,2,8,24,33.3,16,21,0,21,11,30,9,0,defense
ENG-Premier League,2023,Crystal Palace,Naouirou Ahamada,FRA,"MF,FW",21,2002,3.9,13,9,5,6,2,8,17,47.1,9,3,0,3,2,15,4,0,defense
ENG-Premier League,2023,Crystal Palace,Nathaniel Clyne,ENG,DF,32,1991,14.9,24,15,11,11,2,14,21,66.7,7,18,6,12,10,34,33,0,defense
ENG-Premier League,2023,Crystal Palace,Odsonne Édouard,FRA,"FW,MF",25,1998,17.3,24,12,8,8,8,4,19,21.1,15,17,1,16,6,30,19,0,defense
ENG-Premier League,2023,Crystal Palace,Remi Matthews,ENG,GK,29,1994,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,defense
ENG-Premier League,2023,Crystal Palace,Sam Johnstone,ENG,GK,30,1993,20.0,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,5,0,defense
ENG-Premier League,2023,Crystal Palace,Tyrick Mitchell,ENG,"DF,MF",23,1999,35.6,105,60,75,21,9,43,60,71.7,17,63,10,53,26,131,104,0,defense
ENG-Premier League,2023,Crystal Palace,Will Hughes,ENG,MF,28,1995,21.0,61,33,30,20,11,24,48,50.0,24,36,14,22,21,82,25,0,defense
ENG-Premier League,2023,Everton,Abdoulaye Doucouré,MLI,"FW,MF",30,1993,29.2,43,27,20,14,9,18,46,39.1,28,23,3,20,15,58,19,0,defense
ENG-Premier League,2023,Everton,Alex Iwobi,NGA,MF,27,1996,1.6,2,0,1,0,1,2,3,66.7,1,2,0,2,1,3,0,0,defense
ENG-Premier League,2023,Everton,Amadou Onana,BEL,MF,21,2001,23.2,71,38,32,31,8,21,42,50.0,21,25,6,19,21,92,31,0,defense
ENG-Premier League,2023,Everton,André Gomes,POR,"MF,FW",30,1993,5.6,7,4,2,3,2,3,13,23.1,10,10,1,9,3,10,4,1,defense
ENG-Premier League,2023,Everton,Arnaut Danjuma,NED,"MF,FW",26,1997,6.6,6,4,2,3,1,1,4,25.0,3,4,0,4,3,9,0,0,defense
ENG-Premier League,2023,Everton,Ashley Young,ENG,"DF,MF",38,1985,25.3,53,38,28,19,6,30,54,55.6,24,24,6,18,22,75,50,3,defense
ENG-Premier League,2023,Everton,Ben Godfrey,ENG,DF,25,1998,12.4,30,20,17,8,5,15,28,53.6,13,14,8,6,16,46,57,0,defense
ENG-Premier League,2023,Everton,Beto,GNB,FW,25,1998,10.6,14,6,1,6,7,4,12,33.3,8,11,0,11,1,15,14,0,defense
ENG-Premier League,2023,Everton,Dominic Calvert-Lewin,ENG,FW,26,1997,24.1,13,6,2,6,5,2,15,13.3,13,14,4,10,4,17,38,0,defense
ENG-Premier League,2023,Everton,Dwight McNeil,ENG,"MF,FW",23,1999,32.1,44,27,16,14,14,24,55,43.6,31,44,7,37,22,66,37,0,defense
ENG-Premier League,2023,Everton,Idrissa Gana Gueye,SEN,MF,33,1989,20.9,73,44,32,27,14,29,46,63.0,17,24,7,17,28,101,16,0,defense
ENG-Premier League,2023,Everton,Jack Harrison,ENG,"MF,FW",26,1996,24.6,37,22,12,12,13,17,49,34.7,32,25,5,20,12,49,24,0,defense
ENG-Premier League,2023,Everton,James Garner,ENG,MF,22,2001,33.4,83,44,32,38,13,35,82,42.7,47,45,14,31,45,128,47,1,defense
ENG-Premier League,2023,Everton,James Tarkowski,ENG,DF,30,1992,38.0,61,42,46,14,1,27,48,56.3,21,82,56,26,56,117,191,2,defense
ENG-Premier League,2023,Everton,Jarrad Branthwaite,ENG,DF,21,2002,34.6,66,32,42,22,2,45,62,72.6,17,51,36,15,50,116,163,2,defense
ENG-Premier League,2023,Everton,Jordan Pickford,ENG,GK,29,1994,38.0,1,0,1,0,0,1,1,100.0,0,3,0,3,0,1,19,1,defense
ENG-Premier League,2023,Everton,Lewis Dobbin,ENG,MF,20,2003,2.6,9,7,3,5,1,5,9,55.6,4,5,1,4,1,10,0,0,defense
ENG-Premier League,2023,Everton,Lewis Warrington,ENG,FW,20,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ENG-Premier League,2023,Everton,Michael Keane,ENG,DF,30,1993,4.9,7,3,3,3,1,1,7,14.3,6,5,4,1,5,12,18,1,defense
ENG-Premier League,2023,Everton,Nathan Patterson,SCO,DF,21,2001,11.2,34,24,21,11,2,14,37,37.8,23,14,3,11,9,43,33,0,defense
ENG-Premier League,2023,Everton,Neal Maupay,FRA,FW,26,1996,1.2,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,1,0,defense
ENG-Premier League,2023,Everton,Séamus Coleman,IRL,DF,34,1988,7.4,17,14,10,3,4,11,16,68.8,5,12,4,8,7,24,26,1,defense
ENG-Premier League,2023,Everton,Thomas Cannon,IRL,FW,20,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ENG-Premier League,2023,Everton,Tyler Onyango,ENG,MF,20,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ENG-Premier League,2023,Everton,Vitaliy Mykolenko,UKR,DF,24,1999,27.4,69,38,46,21,2,41,66,62.1,25,36,11,25,36,105,92,0,defense
ENG-Premier League,2023,Everton,Youssef Chermiti,POR,FW,19,2004,2.3,3,2,2,1,0,1,5,20.0,4,4,1,3,1,4,2,0,defense
ENG-Premier League,2023,Fulham,Adama Traoré,ESP,"FW,MF",27,1996,4.2,4,3,1,2,1,3,6,50.0,3,2,0,2,1,5,2,0,defense
ENG-Premier League,2023,Fulham,Aleksandar Mitrović,SRB,FW,28,1994,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ENG-Premier League,2023,Fulham,Alex Iwobi,NGA,"FW,MF",27,1996,24.4,29,18,12,15,2,12,25,48.0,13,16,0,16,14,43,9,0,defense
ENG-Premier League,2023,Fulham,Andreas Pereira,BRA,MF,27,1996,29.0,25,12,4,12,9,11,41,26.8,30,16,2,14,4,29,12,0,defense
ENG-Premier League,2023,Fulham,Antonee Robinson,USA,DF,25,1997,36.3,93,58,60,26,7,52,110,47.3,58,56,8,48,80,173,117,3,defense
ENG-Premier League,2023,Fulham,Armando Broja,ALB,FW,21,2001,1.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,defense
ENG-Premier League,2023,Fulham,Bernd Leno,GER,GK,31,1992,38.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,14,1,defense
ENG-Premier League,2023,Fulham,Bobby Reid,JAM,FW,30,1993,15.8,22,14,5,15,2,4,16,25.0,12,24,2,22,5,27,14,0,defense
ENG-Premier League,2023,Fulham,Calvin Bassey,NGA,DF,23,1999,25.6,49,29,33,15,1,21,29,72.4,8,32,11,21,28,77,84,4,defense
ENG-Premier League,2023,Fulham,Carlos Vinícius,BRA,FW,28,1995,3.5,3,2,0,1,2,0,4,0.0,4,4,0,4,0,3,1,0,defense
ENG-Premier League,2023,Fulham,Fodé Ballo-Touré,SEN,"DF,MF",26,1997,0.8,4,2,1,3,0,1,2,50.0,1,1,0,1,3,7,2,0,defense
ENG-Premier League,2023,Fulham,Harrison Reed,ENG,MF,28,1995,14.7,29,18,9,17,3,13,31,41.9,18,19,9,10,11,40,24,0,defense
ENG-Premier League,2023,Fulham,Harry Wilson,WAL,FW,26,1997,18.0,21,14,9,8,4,11,28,39.3,17,27,3,24,10,31,12,0,defense
ENG-Premier League,2023,Fulham,Issa Diop,FRA,DF,26,1997,15.8,30,16,23,5,2,15,20,75.0,5,28,19,9,17,47,80,1,defense
ENG-Premier League,2023,Fulham,João Palhinha,POR,MF,28,1995,30.0,152,75,80,60,12,103,152,67.8,49,57,9,48,46,198,58,0,defense
ENG-Premier League,2023,Fulham,Kenny Tete,NED,DF,27,1995,9.6,27,17,19,6,2,11,19,57.9,8,10,3,7,16,43,35,0,defense
ENG-Premier League,2023,Fulham,Luke Harris,WAL,MF,18,2005,0.8,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,defense
ENG-Premier League,2023,Fulham,Raúl Jiménez,MEX,FW,32,1991,15.5,18,12,4,8,6,7,20,35.0,13,11,3,8,4,22,13,0,defense
ENG-Premier League,2023,Fulham,Rodrigo Muniz,BRA,FW,22,2001,17.7,7,3,1,5,1,1,6,16.7,5,9,3,6,6,13,20,0,defense
ENG-Premier League,2023,Fulham,Saša Lukić,SRB,MF,26,1996,12.5,33,19,9,17,7,18,39,46.2,21,18,5,13,16,49,19,1,defense
ENG-Premier League,2023,Fulham,Tim Ream,USA,DF,35,1987,16.7,20,9,13,5,2,9,18,50.0,9,23,15,8,25,45,61,2,defense
ENG-Premier League,2023,Fulham,Timothy Castagne,BEL,DF,27,1995,29.3,49,24,23,16,10,26,44,59.1,18,38,10,28,38,87,69,1,defense
ENG-Premier League,2023,Fulham,Tom Cairney,SCO,MF,32,1991,16.5,24,16,10,12,2,13,25,52.0,12,16,4,12,13,37,6,0,defense
ENG-Premier League,2023,Fulham,Tosin Adarabioyo,ENG,DF,25,1997,18.0,21,11,16,5,0,12,21,57.1,9,16,11,5,25,46,80,0,defense
ENG-Premier League,2023,Fulham,Willian,BRA,FW,34,1988,22.8,18,11,6,7,5,3,21,14.3,18,13,0,13,9,27,12,1,defense
ENG-Premier League,2023,Liverpool,Alexis Mac Allister,ARG,MF,24,1998,28.9,99,55,35,50,14,59,125,47.2,66,65,8,57,35,134,25,1,defense
ENG-Premier League,2023,Liverpool,Alisson,BRA,GK,30,1992,28.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,11,4,defense
ENG-Premier League,2023,Liverpool,Andrew Robertson,SCO,DF,29,1994,18.8,35,24,21,11,3,26,43,60.5,17,20,6,14,13,48,40,0,defense
ENG-Premier League,2023,Liverpool,Ben Doak,SCO,FW,17,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ENG-Premier League,2023,Liverpool,Bobby Clark,ENG,MF,18,2005,1.0,2,1,1,1,0,1,5,20.0,4,6,2,4,1,3,1,0,defense
ENG-Premier League,2023,Liverpool,Caoimhín Kelleher,IRL,GK,24,1998,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,1,defense
ENG-Premier League,2023,Liverpool,Cody Gakpo,NED,"FW,MF",24,1999,18.3,27,17,8,14,5,8,25,32.0,17,21,4,17,14,41,7,0,defense
ENG-Premier League,2023,Liverpool,Conor Bradley,NIR,DF,20,2003,8.4,33,25,14,12,7,24,38,63.2,14,17,1,16,10,43,14,0,defense
ENG-Premier League,2023,Liverpool,Curtis Jones,ENG,MF,22,2001,13.0,27,14,12,12,3,10,23,43.5,13,22,0,22,7,34,8,0,defense
ENG-Premier League,2023,Liverpool,Darwin Núñez,URU,FW,24,1999,22.7,22,12,2,10,10,11,23,47.8,12,18,6,12,3,25,9,0,defense
ENG-Premier League,2023,Liverpool,Diogo Jota,POR,FW,26,1996,12.7,23,13,6,13,4,10,23,43.5,13,9,1,8,7,30,4,0,defense
ENG-Premier League,2023,Liverpool,Dominik Szoboszlai,HUN,MF,22,2000,23.4,32,19,12,12,8,16,50,32.0,34,37,2,35,15,47,16,1,defense
ENG-Premier League,2023,Liverpool,Harvey Elliott,ENG,"MF,FW",20,2003,15.0,27,17,8,14,5,10,31,32.3,21,27,0,27,6,33,7,0,defense
ENG-Premier League,2023,Liverpool,Ibrahima Konaté,FRA,DF,24,1999,17.5,36,22,22,13,1,18,24,75.0,6,18,12,6,20,56,51,1,defense
ENG-Premier League,2023,Liverpool,James McConnell,ENG,MF,18,2004,0.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,defense
ENG-Premier League,2023,Liverpool,Jarell Quansah,ENG,DF,20,2003,13.2,25,22,17,7,1,14,20,70.0,6,16,8,8,17,42,39,1,defense
ENG-Premier League,2023,Liverpool,Jayden Danns,ENG,FW,17,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ENG-Premier League,2023,Liverpool,Joe Gomez,ENG,DF,26,1997,19.8,47,31,24,16,7,30,63,47.6,33,26,4,22,19,66,50,2,defense
ENG-Premier League,2023,Liverpool,Joël Matip,CMR,DF,31,1991,8.7,12,6,7,4,1,8,12,66.7,4,16,12,4,9,21,43,0,defense
ENG-Premier League,2023,Liverpool,Kaide Gordon,ENG,FW,18,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ENG-Premier League,2023,Liverpool,Kostas Tsimikas,GRE,DF,27,1996,7.5,19,13,9,6,4,9,15,60.0,6,9,1,8,6,25,10,0,defense
ENG-Premier League,2023,Liverpool,Luis Díaz,COL,FW,26,1997,29.2,35,25,5,17,13,7,30,23.3,23,15,0,15,3,38,8,0,defense
ENG-Premier League,2023,Liverpool,Mohamed Salah,EGY,FW,31,1992,28.2,17,11,1,8,8,6,21,28.6,15,19,1,18,2,19,1,0,defense
ENG-Premier League,2023,Liverpool,Owen Beck,WAL,DF,20,2002,0.1,2,1,1,1,0,0,0,,0,0,0,0,0,2,1,0,defense
ENG-Premier League,2023,Liverpool,Ryan Gravenberch,NED,MF,21,2002,12.5,26,12,5,13,8,12,29,41.4,17,20,2,18,14,40,11,0,defense
ENG-Premier League,2023,Liverpool,Stefan Bajcetic,ESP,MF,18,2004,0.3,4,1,3,1,0,3,5,60.0,2,0,0,0,0,4,0,0,defense
ENG-Premier League,2023,Liverpool,Thiago Alcántara,ESP,MF,32,1991,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ENG-Premier League,2023,Liverpool,Trent Alexander-Arnold,ENG,DF,24,1998,23.9,39,26,26,11,2,27,87,31.0,60,22,2,20,31,70,48,5,defense
ENG-Premier League,2023,Liverpool,Virgil van Dijk,NED,DF,32,1991,35.3,40,23,24,13,3,12,14,85.7,2,47,34,13,39,79,144,0,defense
ENG-Premier League,2023,Liverpool,Wataru Endo,JPN,MF,30,1993,19.1,48,28,11,31,6,20,61,32.8,41,24,2,22,20,68,31,3,defense
ENG-Premier League,2023,Luton Town,Albert Sambi Lokonga,BEL,MF,23,1999,14.5,29,18,14,12,3,17,24,70.8,7,23,13,10,11,40,14,0,defense
ENG-Premier League,2023,Luton Town,Alfie Doughty,ENG,DF,23,1999,32.5,63,40,29,18,16,37,82,45.1,45,51,9,42,31,94,43,4,defense
ENG-Premier League,2023,Luton Town,Amari'i Bell,JAM,DF,29,1994,19.1,50,33,30,19,1,22,35,62.9,13,33,15,18,25,75,60,1,defense
ENG-Premier League,2023,Luton Town,Andros Townsend,ENG,"MF,FW",32,1991,13.4,21,13,11,2,8,13,27,48.1,14,12,0,12,5,26,10,0,defense
ENG-Premier League,2023,Luton Town,Carlton Morris,ENG,"FW,MF",27,1995,31.8,15,8,4,6,5,9,15,60.0,6,24,5,19,1,16,53,0,defense
ENG-Premier League,2023,Luton Town,Cauley Woodrow,ENG,"FW,MF",28,1994,4.7,16,10,8,4,4,9,16,56.3,7,7,1,6,1,17,14,0,defense
ENG-Premier League,2023,Luton Town,Chiedozie Ogbene,IRL,"MF,DF",26,1997,22.2,17,10,10,7,0,12,22,54.5,10,14,3,11,7,24,34,2,defense
ENG-Premier League,2023,Luton Town,Daiki Hashioka,JPN,DF,24,1999,6.6,11,5,6,4,1,5,11,45.5,6,12,7,5,8,19,20,0,defense
ENG-Premier League,2023,Luton Town,Elijah Adebayo,ENG,FW,25,1998,15.8,4,1,1,0,3,1,12,8.3,11,13,2,11,6,10,25,0,defense
ENG-Premier League,2023,Luton Town,Fred Onyedinma,ENG,"DF,MF",26,1996,4.5,10,6,7,3,0,5,12,41.7,7,3,0,3,1,11,13,0,defense
ENG-Premier League,2023,Luton Town,Gabriel Osho,NGA,DF,24,1998,20.5,41,22,21,19,1,16,27,59.3,11,37,20,17,31,72,92,0,defense
ENG-Premier League,2023,Luton Town,Issa Kaboré,BFA,DF,22,2001,19.2,52,28,23,21,8,24,45,53.3,21,22,11,11,16,68,56,2,defense
ENG-Premier League,2023,Luton Town,Jacob Brown,SCO,"MF,FW",25,1998,11.3,19,12,7,7,5,7,18,38.9,11,20,1,19,8,27,22,0,defense
ENG-Premier League,2023,Luton Town,James Shea,ENG,GK,32,1991,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,defense
ENG-Premier League,2023,Luton Town,Jordan Clark,ENG,MF,29,1993,14.5,30,17,14,11,5,11,39,28.2,28,24,3,21,11,41,15,1,defense
ENG-Premier League,2023,Luton Town,Joseph Johnson,ENG,DF,17,2006,0.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,defense
ENG-Premier League,2023,Luton Town,Luke Berry,ENG,"MF,DF",31,1992,3.6,7,2,2,4,1,2,3,66.7,1,6,1,5,0,7,3,0,defense
ENG-Premier League,2023,Luton Town,Mads Juel Andersen,DEN,DF,25,1997,4.4,6,5,4,2,0,4,4,100.0,0,9,6,3,8,14,29,0,defense
ENG-Premier League,2023,Luton Town,Marvelous Nakamba,ZIM,MF,29,1994,12.6,40,24,24,14,2,24,42,57.1,18,23,6,17,11,51,11,1,defense
ENG-Premier League,2023,Luton Town,Pelly Ruddock Mpanzu,COD,MF,30,1993,12.2,13,5,6,6,1,5,9,55.6,4,15,7,8,9,22,16,3,defense
ENG-Premier League,2023,Luton Town,Reece Burke,ENG,DF,26,1996,18.4,37,23,17,14,6,12,26,46.2,14,25,18,7,18,55,78,1,defense
ENG-Premier League,2023,Luton Town,Ross Barkley,ENG,MF,29,1993,29.1,47,19,16,21,10,11,48,22.9,37,25,9,16,25,72,51,2,defense
ENG-Premier League,2023,Luton Town,Ryan Giles,ENG,"DF,MF",23,2000,5.6,8,6,4,3,1,2,7,28.6,5,2,0,2,4,12,22,0,defense
ENG-Premier League,2023,Luton Town,Tahith Chong,NED,"MF,FW",23,1999,22.0,36,22,19,13,4,15,33,45.5,18,30,6,24,8,44,11,1,defense
ENG-Premier League,2023,Luton Town,Teden Mengi,ENG,DF,21,2002,27.4,54,22,33,20,1,19,30,63.3,11,39,27,12,57,111,140,1,defense
ENG-Premier League,2023,Luton Town,Thomas Kaminski,BEL,GK,30,1992,37.8,2,1,2,0,0,2,6,33.3,4,1,0,1,0,2,14,2,defense
ENG-Premier League,2023,Luton Town,Tom Lockyer,WAL,DF,28,1994,13.0,25,16,17,6,2,15,22,68.2,7,23,13,10,23,48,68,0,defense
ENG-Premier League,2023,Luton Town,Zack Nelson,ENG,"MF,DF",18,2004,0.1,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,defense
